event_date,code,market,status_type,status_value,source,source_url,raw_path,confidence,notes
2026-05-20,149300,UNKNOWN,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=아퓨어스; 폐지사유=감사의견 의견거절
2026-06-01,257990,UNKNOWN,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=나우코스; 폐지사유=타법인의 완전자회사로 편입
2026-06-05,121850,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=코이즈; 지정사유=시가총액 미달; market_enrichment=market_data_join:KOSDAQ
2026-06-05,230980,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=비유테크놀러지; 폐지사유=감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성); market_enrichment=market_data_join:KOSDAQ
2026-06-09,464680,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=KB제27호스팩; 폐지사유=상장예비심사신청서 미제출 등으로 관리종목으로 지정된 날부터 1개월 이내 동 사유 미해소; market_enrichment=market_data_join:KOSDAQ
2026-06-10,140910,KOSPI,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,"snapshot=delisted_company; 회사명=에이리츠; 폐지사유=기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정; market_enrichment=market_data_join:KOSPI"
2026-06-10,451700,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=엔에이치스팩29호; 폐지사유=피흡수합병(스팩소멸합병); market_enrichment=market_data_join:KOSDAQ
2026-06-12,204210,KOSPI,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,"snapshot=delisted_company; 회사명=JK리버스톤리츠; 폐지사유=기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정; market_enrichment=market_data_join:KOSPI"
2026-06-15,467930,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=IBKS제23호스팩; 지정사유=SPAC 상장예비심사청구서 미제출 등; market_enrichment=market_data_join:KOSDAQ
2026-06-16,036420,KOSPI,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=콘텐트리중앙; 지정사유=회생절차개시신청; market_enrichment=market_data_join:KOSPI
