date,code,stock_name,market,signal_state,horizon_trading_days,evaluation_status,forward_date,signal_close,forward_close,raw_forward_return_pct,directional_forward_score_pct,source_strategy,signal_mode,evaluation_mode
2025-02-05,010100,한국무브넥스,KOSPI,BUY candidate,1,complete,2025-02-06,7040.0000,7300.0000,3.6932,3.6932,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,010100,한국무브넥스,KOSPI,BUY candidate,5,complete,2025-02-12,7040.0000,5220.0000,-25.8523,-25.8523,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,301300,바이브컴퍼니,KOSDAQ,BUY candidate,1,complete,2025-02-06,6770.0000,6810.0000,0.5908,0.5908,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,301300,바이브컴퍼니,KOSDAQ,BUY candidate,5,complete,2025-02-12,6770.0000,5550.0000,-18.0207,-18.0207,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,300080,플리토,KOSDAQ,BUY candidate,1,complete,2025-02-06,26150.0000,24100.0000,-7.8394,-7.8394,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,300080,플리토,KOSDAQ,BUY candidate,5,complete,2025-02-12,26150.0000,24500.0000,-6.3098,-6.3098,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,160190,하이젠알앤엠,KOSDAQ,BUY candidate,1,complete,2025-02-06,42000.0000,42050.0000,0.1190,0.1190,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,160190,하이젠알앤엠,KOSDAQ,BUY candidate,5,complete,2025-02-12,42000.0000,34700.0000,-17.3810,-17.3810,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,051630,진양화학,KOSPI,BUY candidate,1,complete,2025-02-06,5520.0000,5230.0000,-5.2536,-5.2536,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,051630,진양화학,KOSPI,BUY candidate,5,complete,2025-02-12,5520.0000,4400.0000,-20.2899,-20.2899,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,277810,레인보우로보틱스,KOSDAQ,BUY candidate,1,complete,2025-02-06,371000.0000,374500.0000,0.9434,0.9434,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,277810,레인보우로보틱스,KOSDAQ,BUY candidate,5,complete,2025-02-12,371000.0000,373000.0000,0.5391,0.5391,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,101000,KS인더스트리,KOSDAQ,BUY candidate,1,complete,2025-02-06,2590.0000,2560.0000,-1.1583,-1.1583,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,101000,KS인더스트리,KOSDAQ,BUY candidate,5,complete,2025-02-12,2590.0000,2395.0000,-7.5290,-7.5290,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,304100,솔트룩스,KOSDAQ,BUY candidate,1,complete,2025-02-06,33150.0000,33150.0000,0.0000,0.0000,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,304100,솔트룩스,KOSDAQ,BUY candidate,5,complete,2025-02-12,33150.0000,30800.0000,-7.0890,-7.0890,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,042000,카페24,KOSDAQ,BUY candidate,1,complete,2025-02-06,56200.0000,56300.0000,0.1779,0.1779,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,042000,카페24,KOSDAQ,BUY candidate,5,complete,2025-02-12,56200.0000,57400.0000,2.1352,2.1352,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,067160,SOOP,KOSDAQ,BUY candidate,1,complete,2025-02-06,115600.0000,127900.0000,10.6401,10.6401,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,067160,SOOP,KOSDAQ,BUY candidate,5,complete,2025-02-12,115600.0000,123500.0000,6.8339,6.8339,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,382150,온코크로스,KOSDAQ,BUY candidate,1,complete,2025-02-06,10060.0000,13070.0000,29.9205,29.9205,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,382150,온코크로스,KOSDAQ,BUY candidate,5,complete,2025-02-12,10060.0000,11340.0000,12.7237,12.7237,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,402030,코난테크놀로지,KOSDAQ,BUY candidate,1,complete,2025-02-06,28300.0000,27700.0000,-2.1201,-2.1201,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,402030,코난테크놀로지,KOSDAQ,BUY candidate,5,complete,2025-02-12,28300.0000,26350.0000,-6.8905,-6.8905,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,219550,디와이디,KOSDAQ,BUY candidate,1,complete,2025-02-06,790.0000,885.0000,12.0253,12.0253,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,219550,디와이디,KOSDAQ,BUY candidate,5,complete,2025-02-12,790.0000,803.0000,1.6456,1.6456,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,393210,토마토시스템,KOSDAQ,BUY candidate,1,complete,2025-02-06,5720.0000,5980.0000,4.5455,4.5455,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,393210,토마토시스템,KOSDAQ,BUY candidate,5,complete,2025-02-12,5720.0000,5670.0000,-0.8741,-0.8741,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,232680,라온테크,KOSDAQ,BUY candidate,1,complete,2025-02-06,9150.0000,9380.0000,2.5137,2.5137,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,232680,라온테크,KOSDAQ,BUY candidate,5,complete,2025-02-12,9150.0000,9000.0000,-1.6393,-1.6393,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,032580,피델릭스,KOSDAQ,BUY candidate,1,complete,2025-02-06,1649.0000,1562.0000,-5.2759,-5.2759,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,032580,피델릭스,KOSDAQ,BUY candidate,5,complete,2025-02-12,1649.0000,1400.0000,-15.1001,-15.1001,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,033160,엠케이전자,KOSDAQ,BUY candidate,1,complete,2025-02-06,9350.0000,9420.0000,0.7487,0.7487,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,033160,엠케이전자,KOSDAQ,BUY candidate,5,complete,2025-02-12,9350.0000,8070.0000,-13.6898,-13.6898,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,000910,유니온,KOSPI,BUY candidate,1,complete,2025-02-06,6930.0000,6580.0000,-5.0505,-5.0505,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,000910,유니온,KOSPI,BUY candidate,5,complete,2025-02-12,6930.0000,6300.0000,-9.0909,-9.0909,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,176750,듀켐바이오,KOSDAQ,BUY candidate,1,complete,2025-02-06,10030.0000,10090.0000,0.5982,0.5982,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,176750,듀켐바이오,KOSDAQ,BUY candidate,5,complete,2025-02-12,10030.0000,11890.0000,18.5444,18.5444,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,381620,제닉스,KOSDAQ,SELL candidate,1,complete,2025-02-06,9600.0000,9400.0000,-2.0833,2.0833,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,381620,제닉스,KOSDAQ,SELL candidate,5,complete,2025-02-12,9600.0000,12110.0000,26.1458,-26.1458,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,065650,하이퍼코퍼레이션,KOSDAQ,SELL candidate,1,complete,2025-02-06,518.0000,637.0000,22.9730,-22.9730,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,065650,하이퍼코퍼레이션,KOSDAQ,SELL candidate,5,complete,2025-02-12,518.0000,529.0000,2.1236,-2.1236,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,064960,SNT모티브,KOSPI,SELL candidate,1,complete,2025-02-06,25650.0000,25500.0000,-0.5848,0.5848,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,064960,SNT모티브,KOSPI,SELL candidate,5,complete,2025-02-12,25650.0000,26650.0000,3.8986,-3.8986,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,024830,세원물산,KOSDAQ,SELL candidate,1,complete,2025-02-06,8350.0000,8320.0000,-0.3593,0.3593,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,024830,세원물산,KOSDAQ,SELL candidate,5,complete,2025-02-12,8350.0000,8140.0000,-2.5150,2.5150,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,196300,애니젠,KOSDAQ,SELL candidate,1,complete,2025-02-06,7190.0000,6940.0000,-3.4771,3.4771,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,196300,애니젠,KOSDAQ,SELL candidate,5,complete,2025-02-12,7190.0000,8720.0000,21.2796,-21.2796,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,014160,대영포장,KOSPI,SELL candidate,1,complete,2025-02-06,1508.0000,1507.0000,-0.0663,0.0663,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,014160,대영포장,KOSPI,SELL candidate,5,complete,2025-02-12,1508.0000,1542.0000,2.2546,-2.2546,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,025750,한솔홈데코,KOSPI,SELL candidate,1,complete,2025-02-06,885.0000,871.0000,-1.5819,1.5819,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,025750,한솔홈데코,KOSPI,SELL candidate,5,complete,2025-02-12,885.0000,906.0000,2.3729,-2.3729,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,046940,우원개발,KOSDAQ,SELL candidate,1,complete,2025-02-06,2755.0000,2785.0000,1.0889,-1.0889,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,046940,우원개발,KOSDAQ,SELL candidate,5,complete,2025-02-12,2755.0000,2725.0000,-1.0889,1.0889,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,033100,제룡전기,KOSDAQ,SELL candidate,1,complete,2025-02-06,45000.0000,45800.0000,1.7778,-1.7778,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,033100,제룡전기,KOSDAQ,SELL candidate,5,complete,2025-02-12,45000.0000,43300.0000,-3.7778,3.7778,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,126640,화신정공,KOSDAQ,SELL candidate,1,complete,2025-02-06,1477.0000,1465.0000,-0.8125,0.8125,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,126640,화신정공,KOSDAQ,SELL candidate,5,complete,2025-02-12,1477.0000,1455.0000,-1.4895,1.4895,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
