code,name,market,security_type,listing_date,listing_age_calendar_days,base_status,base_reason,status,reason,avg_trading_value_20d_krw,liquidity_filter_status,liquidity_filter_reason,liquidity_rows_available,liquidity_rows_used,liquidity_latest_date,liquidity_raw_path
049180,셀루메드,KOSDAQ,보통주,2002/05/23,8787,exclude,managed_issue_current,exclude,managed_issue_current,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
049430,코메론,KOSDAQ,보통주,2001/01/16,9279,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049470,비트플래닛,KOSDAQ,보통주,2001/10/11,9011,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049480,오픈베이스,KOSDAQ,보통주,2001/01/09,9286,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049520,유아이엘,KOSDAQ,보통주,2001/08/02,9081,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049550,잉크테크,KOSDAQ,보통주,2002/02/28,8871,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049630,재영솔루텍,KOSDAQ,보통주,2003/01/24,8541,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049720,고려신용정보,KOSDAQ,보통주,2002/01/31,8899,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049800,우진플라임,KOSPI,보통주,2006/05/24,7325,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049830,승일,KOSDAQ,보통주,2001/01/18,9277,exclude,managed_issue_current,exclude,managed_issue_current,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
049950,미래컴퍼니,KOSDAQ,보통주,2005/01/04,7830,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049960,쎌바이오텍,KOSDAQ,보통주,2002/12/13,8583,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
050090,비케이홀딩스,KOSDAQ,보통주,2004/06/29,8019,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
050110,캠시스,KOSDAQ,보통주,2001/05/17,9158,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
050120,ES큐브,KOSDAQ,보통주,2002/04/25,8815,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
050760,에스폴리텍,KOSDAQ,보통주,2002/05/16,8794,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
050860,아세아텍,KOSDAQ,보통주,2010/01/26,5982,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
050890,쏠리드,KOSDAQ,보통주,2005/07/08,7645,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
050960,수산아이앤티,KOSDAQ,보통주,2016/10/11,3532,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051160,지어소프트,KOSDAQ,보통주,2002/05/28,8782,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051360,토비스,KOSDAQ,보통주,2004/11/19,7876,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051370,인터플렉스,KOSDAQ,보통주,2003/01/22,8543,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051380,피씨디렉트,KOSDAQ,보통주,2002/02/15,8884,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051390,YW,KOSDAQ,보통주,2001/11/15,8976,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051490,나라엠앤디,KOSDAQ,보통주,2001/06/12,9132,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051500,CJ프레시웨이,KOSDAQ,보통주,2001/07/26,9088,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051600,한전KPS,KOSPI,보통주,2007/12/14,6756,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051630,진양화학,KOSPI,보통주,2001/01/29,9266,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051780,큐로홀딩스,KOSDAQ,보통주,2001/06/26,9118,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
051900,LG생활건강,KOSPI,보통주,2001/04/25,9180,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
