date,code,stock_name,market,horizon_trading_days,evaluation_status,forward_date,target_side,target_weight,raw_forward_return_pct,weighted_return_contribution_pct,benchmark_label,benchmark_join_status,benchmark_return_pct,excess_return_pct,weighted_excess_return_contribution_pct,source_signal_state,target_mode,pnl_mode,order_intent_generated
2025-02-06,466100,클로봇,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,15.9684,0.7984,KOSPI,complete,-0.5846,16.5530,0.8277,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,219550,디와이디,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,2.0339,0.1017,KOSPI,complete,-0.5846,2.6185,0.1309,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,277810,레인보우로보틱스,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,9.6128,0.4806,KOSPI,complete,-0.5846,10.1974,0.5099,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,010100,한국무브넥스,KOSPI,1,complete,2025-02-07,LONG,0.050000,4.6575,0.2329,KOSPI,complete,-0.5846,5.2421,0.2621,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,300080,플리토,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,0.0000,0.0000,KOSPI,complete,-0.5846,0.5846,0.0292,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,450520,인스웨이브시스템즈,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,-5.5556,-0.2778,KOSPI,complete,-0.5846,-4.9710,-0.2486,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,393210,토마토시스템,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,1.5050,0.0752,KOSPI,complete,-0.5846,2.0896,0.1045,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,051630,진양화학,KOSPI,1,complete,2025-02-07,LONG,0.050000,-13.6711,-0.6836,KOSPI,complete,-0.5846,-13.0865,-0.6543,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,042000,카페24,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,1.4210,0.0711,KOSPI,complete,-0.5846,2.0056,0.1003,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,304100,솔트룩스,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,0.7541,0.0377,KOSPI,complete,-0.5846,1.3387,0.0669,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,317830,에스피시스템스,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,3.9666,0.1983,KOSPI,complete,-0.5846,4.5512,0.2276,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,232680,라온테크,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,3.7313,0.1866,KOSPI,complete,-0.5846,4.3159,0.2158,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,033160,엠케이전자,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,-7.3248,-0.3662,KOSPI,complete,-0.5846,-6.7402,-0.3370,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,315640,딥노이드,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,0.0000,0.0000,KOSPI,complete,-0.5846,0.5846,0.0292,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,402030,코난테크놀로지,KOSDAQ,1,complete,2025-02-07,LONG,0.050000,-6.8592,-0.3430,KOSPI,complete,-0.5846,-6.2746,-0.3137,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-06,008700,아남전자,KOSPI,1,complete,2025-02-07,LONG,0.050000,0.0590,0.0029,KOSPI,complete,-0.5846,0.6436,0.0322,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,466100,클로봇,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,2.8272,0.1414,KOSPI,complete,-0.0258,2.8530,0.1426,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,067160,SOOP,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,-1.6640,-0.0832,KOSPI,complete,-0.0258,-1.6382,-0.0819,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
