code,name,market,security_type,status,reason
332190,오션스바이오,KONEX,보통주,exclude,market_not_allowed
334890,이지스밸류플러스리츠,KOSPI,보통주,exclude,instrument_name_excluded
336040,타스컴,KONEX,보통주,exclude,market_not_allowed
33626K,두산퓨얼셀1우,KOSPI,구형우선주,exclude,instrument_type_excluded
33626L,두산퓨얼셀2우B,KOSPI,신형우선주,exclude,instrument_type_excluded
33637K,솔루스첨단소재1우,KOSPI,구형우선주,exclude,instrument_type_excluded
33637L,솔루스첨단소재2우B,KOSPI,신형우선주,exclude,instrument_type_excluded
337840,유엑스엔,KONEX,보통주,exclude,market_not_allowed
338100,NH프라임리츠,KOSPI,보통주,exclude,instrument_name_excluded
340930,유일에너테크,KOSDAQ,보통주,exclude,managed_issue_current
341170,퓨쳐메디신,KONEX,보통주,exclude,market_not_allowed
346010,타이드,KONEX,보통주,exclude,market_not_allowed
348950,제이알글로벌리츠,KOSPI,보통주,exclude,instrument_name_excluded;managed_issue_current
350520,이지스레지던스리츠,KOSPI,보통주,exclude,instrument_name_excluded
351020,미쥬,KONEX,보통주,exclude,market_not_allowed
352770,셀레스트라,KOSDAQ,보통주,exclude,managed_issue_current
35320K,대덕전자1우,KOSPI,종류주권,exclude,preferred_share_name
354390,바스칸바이오제약,KONEX,보통주,exclude,market_not_allowed
357120,코람코라이프인프라리츠,KOSPI,보통주,exclude,instrument_name_excluded
357250,미래에셋맵스리츠,KOSPI,보통주,exclude,instrument_name_excluded
357430,마스턴프리미어리츠,KOSPI,보통주,exclude,instrument_name_excluded
36328K,티와이홀딩스우,KOSPI,종류주권,exclude,preferred_share_name
365550,ESR켄달스퀘어리츠,KOSPI,보통주,exclude,instrument_name_excluded
369370,블리츠웨이엔터테인먼트,KOSDAQ,보통주,exclude,instrument_name_excluded
37550K,DL이앤씨우,KOSPI,종류주권,exclude,preferred_share_name
37550L,DL이앤씨2우(전환),KOSPI,신형우선주,exclude,instrument_type_excluded
377030,비트맥스,KOSDAQ,보통주,exclude,managed_issue_current
377190,디앤디플랫폼리츠,KOSPI,보통주,exclude,instrument_name_excluded
377460,큐에이드,KOSDAQ,보통주,exclude,managed_issue_current
379390,이성씨엔아이,KONEX,보통주,exclude,market_not_allowed
380540,옵티코어,KOSDAQ,보통주,exclude,managed_issue_current
38380K,LX홀딩스1우,KOSPI,종류주권,exclude,preferred_share_name
390110,애니메디솔루션,KONEX,보통주,exclude,market_not_allowed
393970,대진첨단소재,KOSDAQ,보통주,exclude,managed_issue_current
395400,SK리츠,KOSPI,보통주,exclude,instrument_name_excluded
396690,미래에셋글로벌리츠,KOSPI,보통주,exclude,instrument_name_excluded
400760,NH올원리츠,KOSPI,보통주,exclude,instrument_name_excluded
402420,켈스,KONEX,보통주,exclude,market_not_allowed
403360,라피치,KONEX,보통주,exclude,market_not_allowed
403810,아이엘로보틱스,KONEX,보통주,exclude,market_not_allowed
404990,신한서부티엔디리츠,KOSPI,보통주,exclude,instrument_name_excluded
412540,제일엠앤에스,KOSDAQ,보통주,exclude,managed_issue_current
413300,티엘엔지니어링,KONEX,보통주,exclude,market_not_allowed
417310,코람코더원리츠,KOSPI,보통주,exclude,instrument_name_excluded
418250,시큐레터,KOSDAQ,보통주,exclude,managed_issue_current
432320,KB스타리츠,KOSPI,보통주,exclude,instrument_name_excluded
434190,탈로스,KONEX,보통주,exclude,market_not_allowed
446440,에피바이오텍,KONEX,보통주,exclude,market_not_allowed
447690,아이오바이오,KONEX,보통주,exclude,market_not_allowed
448730,삼성FN리츠,KOSPI,보통주,exclude,instrument_name_excluded
448780,마이크로엔엑스,KONEX,보통주,exclude,market_not_allowed
451800,한화리츠,KOSPI,보통주,exclude,instrument_name_excluded
45226K,한화갤러리아우,KOSPI,종류주권,exclude,preferred_share_name
456190,큐라켐,KONEX,보통주,exclude,market_not_allowed
456570,아이엠지티,KONEX,보통주,exclude,market_not_allowed
458650,성우,KOSDAQ,보통주,exclude,preferred_share_name
464440,한국제13호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded;managed_issue_current
465320,교보15호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
466690,키움히어로제1호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
467930,IBKS제23호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
468760,유진스팩10호,KOSDAQ,보통주,exclude,instrument_name_excluded
469480,IBKS제24호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
469880,하나30호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
469900,하나31호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
471050,대신밸런스제17호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
472220,신영스팩10호,KOSDAQ,보통주,exclude,instrument_name_excluded
472230,에스케이증권제11호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
473000,에스케이증권제12호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
473050,유안타제15호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
473950,에스케이증권제13호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
474490,유안타제16호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
474660,신한제12호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
474930,신한제13호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
475240,하나32호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
475250,하나33호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
476710,타조이엔터테인먼트,KONEX,보통주,exclude,market_not_allowed
477340,에이치엠씨제7호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
477380,미래에셋비전스팩4호,KOSDAQ,보통주,exclude,instrument_name_excluded
477470,미래에셋비전스팩5호,KOSDAQ,보통주,exclude,instrument_name_excluded
477760,DB금융스팩12호,KOSDAQ,보통주,exclude,instrument_name_excluded
478110,이베스트스팩6호,KOSDAQ,보통주,exclude,instrument_name_excluded
478390,KB제29호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
478440,미래에셋비전스팩6호,KOSDAQ,보통주,exclude,instrument_name_excluded
479880,한국제15호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
481850,신한글로벌액티브리츠,KOSPI,보통주,exclude,instrument_name_excluded
